experiment	replicates
ENCSR541XZK-e11.5-limb	15019-ENCSR541XZK-e11.5-limb,15020-ENCSR541XZK-e11.5-limb
ENCSR216NEG-e14.5-limb	15084-ENCSR216NEG-e14.5-limb,15085-ENCSR216NEG-e14.5-limb
ENCSR347SQR-e13.5-limb	16111-ENCSR347SQR-e13.5-limb,16112-ENCSR347SQR-e13.5-limb
ENCSR830IQV-e15.5-limb	16134-ENCSR830IQV-e15.5-limb,16135-ENCSR830IQV-e15.5-limb
ENCSR750YSX-e12.5-limb	16930-ENCSR750YSX-e12.5-limb,16931-ENCSR750YSX-e12.5-limb
ENCSR968QHO-e10.5-limb	17298-ENCSR968QHO-e10.5-limb,17299-ENCSR968QHO-e10.5-limb
