experiment	replicates
ENCSR541XZK-e11.5-limb	15019,15020
ENCSR216NEG-e14.5-limb	15084,15085
ENCSR347SQR-e13.5-limb	16110,16111
ENCSR830IVQ-e15.5-limb	16134,16135
ENCSR750YSX-e12.5-limb	16930,16931
ENCSR968QHO-e10.5-limb	17298,17299
