,gene_ids-0
Gm26410,ENSMUSG00000088295.1
Gm12655,ENSMUSG00000087128.3
Gm22804,ENSMUSG00000088677.1
Gm12656,ENSMUSG00000083359.1
Caap1,ENSMUSG00000028578.8
Gm10306,ENSMUSG00000070900.1
Plaa,ENSMUSG00000028577.9
Gm12657,ENSMUSG00000063314.5
Ift74,ENSMUSG00000028576.8
Lrrc19,ENSMUSG00000049799.9
Mir872,ENSMUSG00000077921.1
Tek,ENSMUSG00000006386.11
Eqtn,ENSMUSG00000028575.7
Gm12693,ENSMUSG00000083179.3
Mysm1,ENSMUSG00000062627.5
Gm12694,ENSMUSG00000086251.1
Gm12703,ENSMUSG00000052767.5
Gm12704,ENSMUSG00000081030.1
Jun,ENSMUSG00000052684.4
Junos,ENSMUSG00000087366.3
n-R5s189,ENSMUSG00000084624.1
4930551L18Rik,ENSMUSG00000085377.1
Gm28096,ENSMUSG00000100189.1
Gm12708,ENSMUSG00000084918.1
Gm29064,ENSMUSG00000100129.1
Gm830,ENSMUSG00000084939.2
Gm12707,ENSMUSG00000085835.1
Gm25004,ENSMUSG00000065745.1
Fggy,ENSMUSG00000028573.14
Gm20651,ENSMUSG00000093492.1
9530080O11Rik,ENSMUSG00000044125.6
Hook1,ENSMUSG00000028572.9
Cyp2j13,ENSMUSG00000028571.11
Hspe1-ps6,ENSMUSG00000083880.1
Cyp2j12,ENSMUSG00000081225.3
Cyp2j7-ps3,ENSMUSG00000080884.1
Cyp2j7-ps2,ENSMUSG00000083801.1
Cyp2j7-ps1,ENSMUSG00000082681.1
Cyp2j7,ENSMUSG00000081362.3
Cyp2j15-ps,ENSMUSG00000084286.1
Cyp2j11,ENSMUSG00000066097.6
Cyp2j14-ps,ENSMUSG00000082119.1
Cyp2j8,ENSMUSG00000082932.3
Cyp2j6,ENSMUSG00000052914.4
Cyp2j9,ENSMUSG00000015224.10
Cyp2j5,ENSMUSG00000052520.7
Gm12695,ENSMUSG00000078639.1
Gm27579,ENSMUSG00000088738.2
Gm27521,ENSMUSG00000098261.1
Gm10192,ENSMUSG00000066990.2
Gm12696,ENSMUSG00000084159.1
Gm12697,ENSMUSG00000082683.1
E130114P18Rik,ENSMUSG00000048747.10
Gm12676,ENSMUSG00000085710.1
Nfia,ENSMUSG00000028565.14
Gm12691,ENSMUSG00000081096.1
Gm12692,ENSMUSG00000082388.1
Gm12787,ENSMUSG00000083644.1
Gm24203,ENSMUSG00000064883.1
0610025J13Rik,ENSMUSG00000046683.12
Gm12788,ENSMUSG00000082144.1
Tm2d1,ENSMUSG00000028563.12
Gm25997,ENSMUSG00000093135.1
Gm24960,ENSMUSG00000088548.1
Inadl,ENSMUSG00000061859.12
Gm22625,ENSMUSG00000094456.1
Gm26154,ENSMUSG00000076294.1
Gm12846,ENSMUSG00000081046.1
L1td1,ENSMUSG00000087166.5
Gm17376,ENSMUSG00000090718.1
Kank4,ENSMUSG00000035407.8
Kank4os,ENSMUSG00000085843.1
I0C0044D17Rik,ENSMUSG00000073794.3
Gm12851,ENSMUSG00000084188.1
Usp1,ENSMUSG00000028560.7
Dock7,ENSMUSG00000028556.11
Angptl3,ENSMUSG00000028553.8
Gm12852,ENSMUSG00000081733.1
Gm12705,ENSMUSG00000087395.1
Gm12681,ENSMUSG00000086498.1
Atg4c,ENSMUSG00000028550.11
RP23-59N8.3,ENSMUSG00000104479.1
Gm12689,ENSMUSG00000070891.2
RP23-59N8.4,ENSMUSG00000103097.1
Gm12685,ENSMUSG00000081184.1
Gm12686,ENSMUSG00000082442.1
Gm12684,ENSMUSG00000081150.1
Gm12683,ENSMUSG00000080803.1
RP23-14I13.6,ENSMUSG00000103575.1
Gm12690,ENSMUSG00000087332.1
Gm12687,ENSMUSG00000083698.1
Gm12688,ENSMUSG00000086096.1
Foxd3,ENSMUSG00000067261.4
Gm23366,ENSMUSG00000092763.1
Gm12682,ENSMUSG00000086592.1
Alg6,ENSMUSG00000073792.7
Itgb3bp,ENSMUSG00000028549.13
Efcab7,ENSMUSG00000073791.7
Gm26425,ENSMUSG00000084478.1
Pgm2,ENSMUSG00000025791.14
Gm12702,ENSMUSG00000085142.1
Ror1,ENSMUSG00000035305.5
Gm12701,ENSMUSG00000086385.1
Gm12706,ENSMUSG00000080967.1
Ube2u,ENSMUSG00000069733.7
Ube2uos,ENSMUSG00000085871.1
Ccdc50-ps,ENSMUSG00000081553.1
Gm12700,ENSMUSG00000082601.1
Cachd1,ENSMUSG00000028532.10
Gm10577,ENSMUSG00000073789.1
RP23-336G7.4,ENSMUSG00000102578.1
Raver2,ENSMUSG00000035275.10
Gm22100,ENSMUSG00000088551.1
Jak1,ENSMUSG00000028530.10
Gm24468,ENSMUSG00000077677.1
Gm12785,ENSMUSG00000082928.1
Gm25124,ENSMUSG00000065279.1
Gm12801,ENSMUSG00000085863.1
Gm12796,ENSMUSG00000085721.1
Gm12793,ENSMUSG00000081621.1
E130102H24Rik,ENSMUSG00000086782.2
Mir101a,ENSMUSG00000065451.1
0610043K17Rik,ENSMUSG00000087361.3
Gm12795,ENSMUSG00000083614.1
Gm12798,ENSMUSG00000084758.1
Ak4,ENSMUSG00000028527.14
Dnajc6,ENSMUSG00000028528.12
Gm22533,ENSMUSG00000089446.1
Leprot,ENSMUSG00000035212.10
Lepr,ENSMUSG00000057722.13
B020004J07Rik,ENSMUSG00000035201.11
Gm12791,ENSMUSG00000081121.1
Gm12797,ENSMUSG00000081045.1
C130073F10Rik,ENSMUSG00000046133.3
Gm12792,ENSMUSG00000084208.1
Gm12800,ENSMUSG00000037028.7
Gm12794,ENSMUSG00000070890.3
Gm12790,ENSMUSG00000078626.2
Gm12789,ENSMUSG00000078625.6
Gm12799,ENSMUSG00000082264.1
Pde4b,ENSMUSG00000028525.12
Gm24869,ENSMUSG00000077260.1
Sgip1,ENSMUSG00000028524.17
Gm12709,ENSMUSG00000085181.1
Tctex1d1,ENSMUSG00000028523.9
BB031773,ENSMUSG00000085041.1
Insl5,ENSMUSG00000066090.5
Wdr78,ENSMUSG00000035126.15
Gm12710,ENSMUSG00000080744.1
Mier1,ENSMUSG00000028522.12
Slc35d1,ENSMUSG00000028521.13
4921539E11Rik,ENSMUSG00000028520.8
4930456L15Rik,ENSMUSG00000078618.3
Oma1,ENSMUSG00000035069.3
Gm12718,ENSMUSG00000086136.1
Gm23064,ENSMUSG00000094477.1
Gm12720,ENSMUSG00000087482.1
Gm12716,ENSMUSG00000081584.1
Gm12715,ENSMUSG00000059195.10
Gm25877,ENSMUSG00000077514.1
Dab1,ENSMUSG00000028519.12
Gm12719,ENSMUSG00000080913.1
Gm12717,ENSMUSG00000081696.2
C8b,ENSMUSG00000029656.9
C8a,ENSMUSG00000035031.11
Gm17662,ENSMUSG00000095386.1
1700024P16Rik,ENSMUSG00000078612.5
Gm12721,ENSMUSG00000083791.1
Prkaa2,ENSMUSG00000028518.8
Ppap2b,ENSMUSG00000028517.8
Gm12722,ENSMUSG00000081819.1
Gm12723,ENSMUSG00000083128.1
Gm12726,ENSMUSG00000082061.1
Gm12728,ENSMUSG00000083780.4
Gm24363,ENSMUSG00000089065.1
Gm12729,ENSMUSG00000085790.1
Gm12727,ENSMUSG00000082768.1
Gm26047,ENSMUSG00000087933.1
Gm12725,ENSMUSG00000081189.1
Gm12724,ENSMUSG00000086249.1
Gm12731,ENSMUSG00000082958.1
Gm12730,ENSMUSG00000087051.1
RP23-289L17.3,ENSMUSG00000104192.1
Usp24,ENSMUSG00000028514.11
Pcsk9,ENSMUSG00000044254.6
Bsnd,ENSMUSG00000025418.7
Tmem61,ENSMUSG00000085933.2
2700068H02Rik,ENSMUSG00000086172.1
Dhcr24,ENSMUSG00000034926.3
Gm12744,ENSMUSG00000085023.1
BC055111,ENSMUSG00000054362.5
Ttc22,ENSMUSG00000034919.2
Pars2,ENSMUSG00000043572.7
Ttc4,ENSMUSG00000025413.9
Mroh7,ENSMUSG00000047502.10
Fam151a,ENSMUSG00000034871.2
Acot11,ENSMUSG00000034853.12
Gm12745,ENSMUSG00000081110.1
Gm12746,ENSMUSG00000086940.1
Ssbp3,ENSMUSG00000061887.10
Gm12786,ENSMUSG00000085581.1
Mrpl37,ENSMUSG00000028622.7
Cyb5rl,ENSMUSG00000028621.13
Cdcp2,ENSMUSG00000047636.2
Gm12802,ENSMUSG00000085304.1
Tceanc2,ENSMUSG00000028619.11
Tmem59,ENSMUSG00000028618.7
Ldlrad1,ENSMUSG00000070877.4
Lrrc42,ENSMUSG00000028617.6
Hspb11,ENSMUSG00000063172.9
Gm12850,ENSMUSG00000082941.1
Dio1,ENSMUSG00000034785.10
Yipf1,ENSMUSG00000057375.9
Gm12870,ENSMUSG00000082279.1
Gm12869,ENSMUSG00000086041.1
Ndc1,ENSMUSG00000028614.10
Gm24804,ENSMUSG00000092723.1
Glis1,ENSMUSG00000034762.5
Dmrtb1,ENSMUSG00000028610.12
Gm12899,ENSMUSG00000081916.1
1700047F07Rik,ENSMUSG00000085549.3
Gm25123,ENSMUSG00000094267.1
Gm12906,ENSMUSG00000084874.4
Gm12907,ENSMUSG00000087195.1
4933424M12Rik,ENSMUSG00000087289.1
Lrp8os3,ENSMUSG00000087200.1
Lrp8,ENSMUSG00000028613.10
Lrp8os2,ENSMUSG00000073779.3
Lrp8os1,ENSMUSG00000028612.6
Magoh,ENSMUSG00000028609.6
0610037L13Rik,ENSMUSG00000028608.11
Cpt2,ENSMUSG00000028607.12
4930407G08Rik,ENSMUSG00000086713.1
Slc1a7,ENSMUSG00000008932.9
Podn,ENSMUSG00000028600.11
Gm23354,ENSMUSG00000089051.1
Scp2,ENSMUSG00000028603.11
Mir6397,ENSMUSG00000098980.1
Echdc2,ENSMUSG00000028601.14
Zyg11a,ENSMUSG00000034645.9
Zyg11b,ENSMUSG00000034636.9
Gm12742,ENSMUSG00000083957.1
Gm12740,ENSMUSG00000081734.1
Coa7,ENSMUSG00000048351.10
Fam159a,ENSMUSG00000059816.5
Gpx7,ENSMUSG00000028597.11
Gm12738,ENSMUSG00000083255.1
Zcchc11,ENSMUSG00000034610.10
Gm24967,ENSMUSG00000095361.1
Gm12739,ENSMUSG00000083783.1
Gm23138,ENSMUSG00000065299.1
Gm12737,ENSMUSG00000085093.1
Gm25827,ENSMUSG00000087714.1
Gm22345,ENSMUSG00000084593.1
Prpf38a,ENSMUSG00000063800.5
Orc1,ENSMUSG00000028587.14
Gm12743,ENSMUSG00000084968.1
Cc2d1b,ENSMUSG00000028582.10
RP23-406B13.9,ENSMUSG00000102912.1
Gm17354,ENSMUSG00000091985.1
Zfyve9,ENSMUSG00000034557.10
3110021N24Rik,ENSMUSG00000094958.1
Gm12741,ENSMUSG00000082374.1
Btf3l4,ENSMUSG00000028568.12
Txndc12,ENSMUSG00000028567.8
A730015C16Rik,ENSMUSG00000090551.1
Kti12,ENSMUSG00000073775.4
Rab3b,ENSMUSG00000003411.6
Gm12736,ENSMUSG00000082699.1
8030443G20Rik,ENSMUSG00000086483.1
Gm23589,ENSMUSG00000088285.1
Nrd1,ENSMUSG00000053510.8
Mir761,ENSMUSG00000076444.1
Osbpl9,ENSMUSG00000028559.13
Gm23743,ENSMUSG00000088014.1
Calr4,ENSMUSG00000028558.10
Eps15,ENSMUSG00000028552.9
Gm12749,ENSMUSG00000083512.1
Gm12750,ENSMUSG00000085873.1
Ttc39a,ENSMUSG00000028555.11
Rnf11,ENSMUSG00000028557.6
4930522H14Rik,ENSMUSG00000060491.10
Gm22497,ENSMUSG00000077687.1
Gm12811,ENSMUSG00000087641.1
Gm12803,ENSMUSG00000082771.1
9630013D21Rik,ENSMUSG00000059027.10
Cdkn2c,ENSMUSG00000028551.10
Faf1,ENSMUSG00000010517.7
Gm12808,ENSMUSG00000083995.1
Dmrta2os,ENSMUSG00000085256.1
Dmrta2,ENSMUSG00000047143.3
Elavl4,ENSMUSG00000028546.13
Agbl4,ENSMUSG00000061298.10
Gm12806,ENSMUSG00000081813.1
Gm12807,ENSMUSG00000082348.1
Gm12804,ENSMUSG00000081068.1
Gm12805,ENSMUSG00000083904.1
Bend5,ENSMUSG00000028545.9
n-R5s191,ENSMUSG00000084673.1
Spata6,ENSMUSG00000034401.12
Gm12961,ENSMUSG00000082686.1
Gm12960,ENSMUSG00000100514.1
Slc5a9,ENSMUSG00000028544.10
Skint8,ENSMUSG00000078599.5
Skint7,ENSMUSG00000049214.9
Gm25844,ENSMUSG00000084536.1
Skint1,ENSMUSG00000089773.3
Skint4,ENSMUSG00000055960.8
Gm12820,ENSMUSG00000084326.1
Gm12815,ENSMUSG00000082638.1
Skint3,ENSMUSG00000070868.7
Skint9,ENSMUSG00000049972.4
Gm12819,ENSMUSG00000081166.1
Gm12821,ENSMUSG00000083599.1
Skint2,ENSMUSG00000034359.12
Gm12814,ENSMUSG00000083753.1
Gm24099,ENSMUSG00000096564.1
Gm12817,ENSMUSG00000081066.1
Skint10,ENSMUSG00000048766.6
Skint6,ENSMUSG00000087194.5
Gm12823,ENSMUSG00000085878.1
Gm12816,ENSMUSG00000083011.1
Gm12818,ENSMUSG00000082678.1
Gm12813,ENSMUSG00000083384.1
Skint5,ENSMUSG00000078598.7
Gm12812,ENSMUSG00000082559.1
Gm12825,ENSMUSG00000080696.1
Skint11,ENSMUSG00000057977.6
Gm15741,ENSMUSG00000082825.1
Trabd2b,ENSMUSG00000070867.4
Gm28864,ENSMUSG00000100998.1
Gm12829,ENSMUSG00000085870.1
9130410C08Rik,ENSMUSG00000085323.1
Gm12830,ENSMUSG00000055198.3
Gm23230,ENSMUSG00000087923.1
Foxd2,ENSMUSG00000055210.4
Foxd2os,ENSMUSG00000085399.3
Foxe3,ENSMUSG00000044518.3
Cmpk1,ENSMUSG00000028719.8
Gm24045,ENSMUSG00000065047.1
Stil,ENSMUSG00000028718.12
Tal1,ENSMUSG00000028717.8
Pdzk1ip1,ENSMUSG00000028716.11
Cyp4x1,ENSMUSG00000047155.9
Cyp4x1os,ENSMUSG00000086896.1
Cyp4a28-ps,ENSMUSG00000081823.1
Cyp4a29-ps1,ENSMUSG00000082889.1
Gm12834,ENSMUSG00000081138.1
Cyp4a29,ENSMUSG00000083138.3
Cyp4a12a,ENSMUSG00000066071.6
Cyp4a30-ps,ENSMUSG00000083190.1
Cyp4a12b,ENSMUSG00000078597.2
Gm12837,ENSMUSG00000084415.1
Cyp4a30b,ENSMUSG00000084346.4
Gm12838,ENSMUSG00000080142.2
Gm12833,ENSMUSG00000086724.1
Cyp4a14,ENSMUSG00000028715.2
Cyp4a10,ENSMUSG00000066072.9
Cyp4b1-ps1,ENSMUSG00000081006.1
Cyp4a31,ENSMUSG00000028712.8
Cyp4b1-ps2,ENSMUSG00000083457.1
Cyp4a32,ENSMUSG00000063929.6
Cyp4b1,ENSMUSG00000028713.13
Gm12848,ENSMUSG00000082043.1
Gm12849,ENSMUSG00000081172.1
Efcab14,ENSMUSG00000034210.9
Tex38,ENSMUSG00000044556.3
Atpaf1,ENSMUSG00000028710.12
Gm12847,ENSMUSG00000085249.1
Mob3c,ENSMUSG00000028709.3
Mknk1,ENSMUSG00000028708.12
Gm29434,ENSMUSG00000100081.1
Kncn,ENSMUSG00000073774.2
6430628N08Rik,ENSMUSG00000034185.9
Dmbx1,ENSMUSG00000028707.11
Faah,ENSMUSG00000034171.9
Nsun4,ENSMUSG00000028706.10
Uqcrh,ENSMUSG00000063882.8
Gm12854,ENSMUSG00000078238.4
Lrrc41,ENSMUSG00000028703.10
Rad54l,ENSMUSG00000028702.11
Pomgnt1,ENSMUSG00000028700.10
Lurap1,ENSMUSG00000028701.4
Tspan1,ENSMUSG00000028699.5
1700042G07Rik,ENSMUSG00000078593.2
Gm12951,ENSMUSG00000085920.1
Llph-ps1,ENSMUSG00000081459.3
Pik3r3,ENSMUSG00000028698.9
Mast2,ENSMUSG00000003810.8
Gm12950,ENSMUSG00000082592.1
Ipp,ENSMUSG00000028696.8
Tmem69,ENSMUSG00000055900.10
Gm12953,ENSMUSG00000087299.1
Gpbp1l1,ENSMUSG00000034042.12
C530005A16Rik,ENSMUSG00000085408.1
Ccdc17,ENSMUSG00000034035.14
Nasp,ENSMUSG00000028693.11
Akr1a1,ENSMUSG00000028692.10
Gm25137,ENSMUSG00000065185.1
Prdx1,ENSMUSG00000028691.8
Mmachc,ENSMUSG00000028690.4
Ccdc163,ENSMUSG00000028689.10
Tesk2,ENSMUSG00000033985.13
Gm27688,ENSMUSG00000098491.1
Toe1,ENSMUSG00000028688.9
Mutyh,ENSMUSG00000028687.13
Hpdl,ENSMUSG00000043155.4
Gm12996,ENSMUSG00000086417.1
Rpl36-ps8,ENSMUSG00000075390.5
Gm12994,ENSMUSG00000082841.1
Gm12993,ENSMUSG00000082063.1
Zswim5,ENSMUSG00000033948.3
Gm26355,ENSMUSG00000088845.1
Gm25435,ENSMUSG00000088902.1
Gm22092,ENSMUSG00000095805.1
Gm12998,ENSMUSG00000082207.1
Urod,ENSMUSG00000028684.10
Hectd3,ENSMUSG00000046861.9
1700021J08Rik,ENSMUSG00000086890.1
Gm12997,ENSMUSG00000082249.1
Eif2b3,ENSMUSG00000028683.10
Gm22335,ENSMUSG00000088349.1
Ptch2,ENSMUSG00000028681.7
Btbd19,ENSMUSG00000073771.7
Tctex1d4,ENSMUSG00000047671.4
Plk3,ENSMUSG00000028680.10
Best4-ps,ENSMUSG00000033872.6
Gm13015,ENSMUSG00000070834.5
Rps8,ENSMUSG00000047675.11
Gm22980,ENSMUSG00000064542.1
Snord38a,ENSMUSG00000065680.1
Gm26330,ENSMUSG00000064751.1
Snord55,ENSMUSG00000092680.1
Gm22398,ENSMUSG00000095209.1
Kif2c,ENSMUSG00000028678.9
Gm25099,ENSMUSG00000095676.1
Gm23143,ENSMUSG00000094405.1
Gm23287,ENSMUSG00000096280.1
Gm1661,ENSMUSG00000060268.7
1700012C08Rik,ENSMUSG00000086482.1
Tmem53,ENSMUSG00000048772.11
Rnf220,ENSMUSG00000028677.14
Gm12843,ENSMUSG00000085749.1
Gm12828,ENSMUSG00000086876.1
Gm12827,ENSMUSG00000087228.1
Gm12826,ENSMUSG00000083446.1
Eri3,ENSMUSG00000033423.12
Gm25559,ENSMUSG00000087807.1
Dmap1,ENSMUSG00000009640.7
Gm12840,ENSMUSG00000086320.1
Gm12845,ENSMUSG00000085674.3
Gm12844,ENSMUSG00000084260.1
Klf17,ENSMUSG00000048626.5
Gm12842,ENSMUSG00000083507.1
Slc6a9,ENSMUSG00000028542.13
Gm17114,ENSMUSG00000091237.1
Ccdc24,ENSMUSG00000078588.6
B4galt2,ENSMUSG00000028541.10
Gm12841,ENSMUSG00000085278.1
Atp6v0b,ENSMUSG00000033379.9
Dph2,ENSMUSG00000028540.6
Ipo13,ENSMUSG00000033365.10
Artn,ENSMUSG00000028539.10
St3gal3,ENSMUSG00000028538.8
9530034E10Rik,ENSMUSG00000086554.1
Kdm4a,ENSMUSG00000033326.11
Gm23382,ENSMUSG00000088303.1
Ptprf,ENSMUSG00000033295.9
Mir7226,ENSMUSG00000098596.1
Hyi,ENSMUSG00000006395.12
Szt2,ENSMUSG00000033253.14
Med8,ENSMUSG00000006392.12
Elovl1,ENSMUSG00000006390.11
Cdc20,ENSMUSG00000006398.11
Gm12858,ENSMUSG00000081921.1
Mpl,ENSMUSG00000006389.8
Tie1,ENSMUSG00000033191.10
Gm12859,ENSMUSG00000080857.1
Gm12857,ENSMUSG00000081233.1
2610528J11Rik,ENSMUSG00000028536.8
Tmem125,ENSMUSG00000050854.5
Cfap57,ENSMUSG00000028730.10
Ebna1bp2,ENSMUSG00000028729.11
Gm12853,ENSMUSG00000085292.1
Olfr62,ENSMUSG00000043698.7
Olfr1343-ps1,ENSMUSG00000086521.3
Olfr1342,ENSMUSG00000043383.4
Olfr1341,ENSMUSG00000046790.5
Olfr1340,ENSMUSG00000070821.4
Olfr1339,ENSMUSG00000070820.1
Olfr1338,ENSMUSG00000095218.1
Olfr1337,ENSMUSG00000061075.1
Gm12855,ENSMUSG00000081474.1
Olfr1335,ENSMUSG00000066061.4
Olfr1333,ENSMUSG00000073770.3
Olfr1332-ps1,ENSMUSG00000083336.1
Olfr1331,ENSMUSG00000073769.2
Olfr1330,ENSMUSG00000073768.1
Olfr1329,ENSMUSG00000096705.1
Olfr1328,ENSMUSG00000096368.2
Gm12856,ENSMUSG00000084133.1
Gm12863,ENSMUSG00000073765.6
Lao1,ENSMUSG00000024903.10
Gm12861,ENSMUSG00000085895.1
Gm24352,ENSMUSG00000089591.1
Gm12865,ENSMUSG00000087238.1
Gm12864,ENSMUSG00000082143.1
Gm12862,ENSMUSG00000087464.1
Gm12866,ENSMUSG00000066060.5
Slc2a1,ENSMUSG00000028645.6
Mir1957a,ENSMUSG00000088552.1
Gm12867,ENSMUSG00000086683.1
Gm12868,ENSMUSG00000085505.1
Zfp691,ENSMUSG00000045268.9
Ermap,ENSMUSG00000028644.12
Ccdc23,ENSMUSG00000028643.6
AU022252,ENSMUSG00000078584.5
4930538K18Rik,ENSMUSG00000028642.6
Gm12898,ENSMUSG00000085626.1
Lepre1,ENSMUSG00000028641.12
Gm12927,ENSMUSG00000085203.1
Cldn19,ENSMUSG00000066058.7
Ybx1,ENSMUSG00000028639.10
RP23-390M8.5,ENSMUSG00000102819.1
Ppih,ENSMUSG00000060288.9
Ccdc30,ENSMUSG00000028637.11
Ldha-ps2,ENSMUSG00000083836.1
Ppcs,ENSMUSG00000028636.10
Zmynd12,ENSMUSG00000070806.5
Rimkla,ENSMUSG00000048899.8
Gm12954,ENSMUSG00000082009.1
Gm12956,ENSMUSG00000082814.1
Gm12955,ENSMUSG00000080773.1
Gm12957,ENSMUSG00000084379.1
Gm24955,ENSMUSG00000094494.1
AA415398,ENSMUSG00000087385.4
Foxj3,ENSMUSG00000032998.12
Gm12959,ENSMUSG00000081678.1
Guca2a,ENSMUSG00000023247.2
Guca2b,ENSMUSG00000032978.10
Hivep3,ENSMUSG00000028634.12
Edn2,ENSMUSG00000028635.7
Foxo6,ENSMUSG00000052135.8
Foxo6os,ENSMUSG00000084929.1
Scmh1,ENSMUSG00000000085.12
Slfnl1,ENSMUSG00000047518.3
Ctps,ENSMUSG00000028633.7
Gm8439,ENSMUSG00000091297.1
Gm12860,ENSMUSG00000086187.1
Cited4,ENSMUSG00000070803.6
Kcnq4,ENSMUSG00000028631.7
Nfyc,ENSMUSG00000032897.13
Mir30c-1,ENSMUSG00000065490.1
Mir30e,ENSMUSG00000065409.1
Gm23936,ENSMUSG00000096876.1
Rims3,ENSMUSG00000032890.13
Gm12871,ENSMUSG00000082200.1
Gm24678,ENSMUSG00000089381.1
Exo5,ENSMUSG00000028629.5
Zfp69,ENSMUSG00000064141.10
Smap2,ENSMUSG00000032870.8
Col9a2,ENSMUSG00000028626.5
Zmpste24,ENSMUSG00000043207.6
Gm26186,ENSMUSG00000088314.1
Gm23540,ENSMUSG00000088168.1
Tmco2,ENSMUSG00000078577.3
Gm12882,ENSMUSG00000081423.1
Gm12881,ENSMUSG00000082891.1
Gm12879,ENSMUSG00000081305.1
Gm22982,ENSMUSG00000064547.1
Rlf,ENSMUSG00000049878.8
Gm12890,ENSMUSG00000080706.1
Gm12888,ENSMUSG00000073764.2
Gm12889,ENSMUSG00000083941.1
Gm12885,ENSMUSG00000083901.1
Gm12884,ENSMUSG00000081465.1
Gm12883,ENSMUSG00000081667.1
Gm12886,ENSMUSG00000078576.1
Gm12880,ENSMUSG00000082821.1
Gm26162,ENSMUSG00000088418.1
Gm12887,ENSMUSG00000078575.2
Gm12878,ENSMUSG00000083615.1
Gm12892,ENSMUSG00000083679.1
Gm12896,ENSMUSG00000083558.1
Gm12897,ENSMUSG00000083949.1
Gm12893,ENSMUSG00000083867.1
Gm12895,ENSMUSG00000083365.1
Gm12877,ENSMUSG00000081377.1
Gm12874,ENSMUSG00000084196.1
Gm12875,ENSMUSG00000080871.1
Gm12876,ENSMUSG00000083109.3
9530002B09Rik,ENSMUSG00000023263.3
Gm12872,ENSMUSG00000084082.1
Gm12873,ENSMUSG00000083494.1
Ppt1,ENSMUSG00000028657.10
Cap1,ENSMUSG00000028656.10
Gm12891,ENSMUSG00000080929.1
Mfsd2a,ENSMUSG00000028655.7
4933421A08Rik,ENSMUSG00000086443.1
Mycl,ENSMUSG00000028654.9
Trit1,ENSMUSG00000028653.12
Gm12923,ENSMUSG00000086153.1
Bmp8b,ENSMUSG00000002384.2
RP23-138L21.3,ENSMUSG00000102997.1
Oxct2b,ENSMUSG00000076438.5
Ppie,ENSMUSG00000028651.8
Hpcal4,ENSMUSG00000046093.5
Nt5c1a,ENSMUSG00000054958.6
Heyl,ENSMUSG00000032744.4
Gm12901,ENSMUSG00000083720.1
Pabpc4,ENSMUSG00000011257.15
Gm12900,ENSMUSG00000082634.1
Gm25788,ENSMUSG00000064655.1
Gm22154,ENSMUSG00000065778.1
Bmp8a,ENSMUSG00000032726.8
Oxct2a,ENSMUSG00000076436.1
Macf1,ENSMUSG00000028649.13
Gm12924,ENSMUSG00000081528.1
Gm23548,ENSMUSG00000089588.1
Mir6398,ENSMUSG00000099005.1
Gm12926,ENSMUSG00000081585.1
Gm12925,ENSMUSG00000087307.1
Gm12922,ENSMUSG00000081170.1
Ndufs5,ENSMUSG00000028648.9
Akirin1,ENSMUSG00000023075.9
Rhbdl2,ENSMUSG00000043333.8
1700121C08Rik,ENSMUSG00000086275.1
Gm12904,ENSMUSG00000082310.1
4933427I04Rik,ENSMUSG00000073761.2
Gm26606,ENSMUSG00000097337.1
D130007C19Rik,ENSMUSG00000054304.3
Gm12903,ENSMUSG00000080993.1
Mycbp,ENSMUSG00000028647.9
Gm12905,ENSMUSG00000085875.2
Rragc,ENSMUSG00000028646.12
4930535I16Rik,ENSMUSG00000096969.1
Gm12902,ENSMUSG00000082515.1
RP23-62L9.4,ENSMUSG00000103541.1
Gm12916,ENSMUSG00000086087.1
1700021L23Rik,ENSMUSG00000086955.1
4933435F18Rik,ENSMUSG00000086978.1
Gm22983,ENSMUSG00000088933.1
1700057H15Rik,ENSMUSG00000084757.3
Gm27247,ENSMUSG00000098760.1
4933407E24Rik,ENSMUSG00000073759.6
3100002H09Rik,ENSMUSG00000051219.2
Pou3f1,ENSMUSG00000090125.3
Utp11l,ENSMUSG00000028907.7
Gm24480,ENSMUSG00000088067.1
Fhl3,ENSMUSG00000032643.8
Sf3a3,ENSMUSG00000028902.4
Gm12917,ENSMUSG00000083104.1
Mir697,ENSMUSG00000076271.1
Gm12915,ENSMUSG00000086589.1
Gm24721,ENSMUSG00000096411.1
Inpp5b,ENSMUSG00000028894.14
Mir698,ENSMUSG00000076119.1
Mtf1,ENSMUSG00000028890.9
n-R5s192,ENSMUSG00000084526.1
1110065P20Rik,ENSMUSG00000078570.6
Yrdc,ENSMUSG00000028889.13
Maneal,ENSMUSG00000042763.9
Epha10,ENSMUSG00000028876.7
1700125G02Rik,ENSMUSG00000085263.1
Cdca8,ENSMUSG00000028873.12
9930104L06Rik,ENSMUSG00000044730.11
Gm12930,ENSMUSG00000087011.1
Rspo1,ENSMUSG00000028871.7
Gnl2,ENSMUSG00000028869.9
Gm12931,ENSMUSG00000080934.1
Dnali1,ENSMUSG00000042707.6
Snip1,ENSMUSG00000050213.6
Gm12932,ENSMUSG00000086342.1
Meaf6,ENSMUSG00000028863.9
Zc3h12a,ENSMUSG00000042677.7
1700041M05Rik,ENSMUSG00000087010.1
Grik3,ENSMUSG00000001985.9
Ftl2,ENSMUSG00000082062.1
Mir692-2,ENSMUSG00000094403.1
2610028E06Rik,ENSMUSG00000085562.3
Csf3r,ENSMUSG00000028859.10
Mrps15,ENSMUSG00000028861.9
Oscp1,ENSMUSG00000042616.7
