,gene_ids-0
RP24-239K20.1,ENSMUSG00000103561.1
Gm7560,ENSMUSG00000101610.1
Gm22633,ENSMUSG00000093864.1
Mir6341,ENSMUSG00000098555.1
Gm2383,ENSMUSG00000097628.1
Gm6216,ENSMUSG00000098163.1
Gm17644,ENSMUSG00000097171.1
Gm29663,ENSMUSG00000101314.1
Sulf1,ENSMUSG00000016918.11
Slco5a1,ENSMUSG00000025938.12
RP24-178B14.2,ENSMUSG00000104518.1
Gm5250,ENSMUSG00000069620.6
Gm29283,ENSMUSG00000099498.1
Prdm14,ENSMUSG00000042414.7
Ncoa2,ENSMUSG00000005886.10
RP23-93D12.2,ENSMUSG00000103506.1
RP23-93D12.1,ENSMUSG00000103495.1
Gm27881,ENSMUSG00000099183.1
RP23-125I14.4,ENSMUSG00000102639.1
RP23-125I14.3,ENSMUSG00000104170.1
Gm23169,ENSMUSG00000087782.1
RP23-125I14.2,ENSMUSG00000103085.1
RP23-125I14.1,ENSMUSG00000102664.1
Gm29570,ENSMUSG00000101476.1
Gm7593,ENSMUSG00000101171.1
Tram1,ENSMUSG00000025935.6
Lactb2,ENSMUSG00000025937.6
RP23-70F22.2,ENSMUSG00000102982.1
Xkr9,ENSMUSG00000067813.3
Gm26273,ENSMUSG00000077368.1
Gm5523,ENSMUSG00000097711.1
RP23-74B7.1,ENSMUSG00000102166.1
Gm25491,ENSMUSG00000089358.1
RP24-335B5.1,ENSMUSG00000104209.1
Eya1,ENSMUSG00000025932.10
Gm22616,ENSMUSG00000095853.1
RP24-291C20.1,ENSMUSG00000102588.1
Gm9947,ENSMUSG00000054493.2
Msc,ENSMUSG00000025930.6
RP23-398C14.1,ENSMUSG00000103492.1
Smt3h2-ps4,ENSMUSG00000081201.1
Rpl5-ps1,ENSMUSG00000082193.1
Trpa1,ENSMUSG00000032769.4
Gm26345,ENSMUSG00000088159.1
Gm10566,ENSMUSG00000073737.3
Kcnb2,ENSMUSG00000092083.4
RP23-445B17.1,ENSMUSG00000102937.1
RP24-66C10.4,ENSMUSG00000104149.1
Gm25227,ENSMUSG00000088829.1
Gm25168,ENSMUSG00000077377.1
Gm6060,ENSMUSG00000101652.1
Gm28669,ENSMUSG00000100814.1
Terf1,ENSMUSG00000025925.10
RP23-325F17.4,ENSMUSG00000104379.1
Sbspon,ENSMUSG00000032719.4
Gm23259,ENSMUSG00000088943.1
