	15019	15020	15084	15085	16111	16112	16134	16135	16930	16931	17298
0	7040.09988367	6796.6043847	7261.24663629	7284.57094434	6928.02973011	6765.2927435	6980.46603438	7057.90191592	6889.0616521	7010.89231562	6531.50523197
1	12264.9736476	11891.9213601	12175.6123648	12148.7245493	12323.3882628	12136.7751816	12737.9899369	12734.580555	12297.7046515	12479.159664	11958.8123038
2	16318.6831679	15805.6771863	16005.4614183	15820.006777	15814.4672536	15681.7331322	16747.0673343	16598.0010097	16014.0884737	16145.7867311	15981.3648222
3	19283.5997977	18595.2348366	18611.7330949	18333.3037914	18090.5478954	17973.5231741	19073.2075612	18829.5519725	18515.450658	18604.9106434	18648.6564825
4	21412.2845322	20595.989317	20714.9410098	20360.5546033	19540.7830025	19418.9022956	20454.6073815	20284.9373697	20064.8092698	20197.8579505	20125.5026202
5	22592.6792398	21736.5983759	21944.9467055	21548.7104914	20422.4737644	20286.0243897	21486.3092964	21246.2323248	20986.3844127	21116.9020283	21056.4276518
6	23054.2179348	22234.6726977	22197.3696324	21791.4093584	20922.1095058	20829.983357	22366.5958276	21878.4001265	21559.7312268	21657.8053678	21872.8730657
7	23285.9706996	22536.3298945	22085.1450167	21683.2806233	21363.5037558	21301.1119343	23061.4638365	22320.6306858	22018.4039388	22056.6287184	22549.3844485
8	23085.0455462	22408.1283756	21670.2523266	21306.2867836	21524.3222186	21468.2613389	23385.9681257	22563.0116828	22133.9207641	22127.9908783	22858.7671075
9	23046.501833	22361.6150352	21601.6303491	21252.00013	21727.3951278	21720.4898906	23694.8808994	22877.066213	22250.2823644	22126.4446268	22959.2055663
10	22924.4834894	22277.1793321	21417.7739246	21068.7360178	22077.4842685	22104.6095205	24200.8235566	23333.9684905	22379.7639862	22214.0849931	23186.4643258
11	23079.932325	22438.1615408	21418.046269	21099.1717605	22266.5886477	22252.1905755	24137.9572317	23308.406754	22474.0564082	22330.9766599	23477.5005312
12	23619.9612022	22918.1467166	21985.9067601	21622.603461	22638.0731782	22644.0620028	24458.4225138	23631.1473843	22854.282018	22636.4090118	23840.2770244
13	23740.0840397	23043.49664	22290.1663186	21914.5876549	22655.1760709	22697.1164285	24486.766129	23674.9011738	22762.5829759	22518.2190932	23697.2334097
14	23874.4364652	23137.7373246	22385.5421757	21963.0637985	22698.4918606	22762.0498841	24472.5862918	23647.5070238	22771.5130698	22507.9412087	23823.6216259
15	23882.1101952	23201.0964007	22437.5947028	21985.2753229	22783.9195721	22831.6405413	24634.3902202	23789.7755922	22845.0238726	22509.9301986	23937.4962731
16	24145.178865	23477.5833828	22769.7729445	22348.4676569	23050.369828	23145.0240191	25019.0643118	24130.2079891	22983.466051	22620.9175211	24008.6835188
17	24384.003796	23705.6143415	23008.4064519	22558.5328171	23143.9344048	23244.3460754	25450.1953772	24493.3322011	23047.2031304	22612.2210645	24244.5610115
18	24812.836112	24119.5005277	23377.4218912	22870.1285571	23532.9761664	23592.1458669	25948.6484985	24914.9779984	23418.6262621	22986.2533054	24872.3707693
19	24808.8447022	24109.3026731	23370.8139113	22805.0762277	23590.7799843	23632.7890936	26075.4248691	25026.4133192	23460.8333193	23020.7659943	24986.1361494
20	24390.1336579	23677.1839639	23065.4969448	22443.6415258	23304.5326164	23367.3593984	25952.9133719	24823.7100233	23210.6321913	22692.3513558	24782.1324821
21	23992.849905	23320.551437	22584.5795084	21996.7752223	23055.1162595	23132.8361247	25843.7137501	24604.1539839	22955.1234927	22476.5948289	24563.0567483
22	23646.3250756	23001.9997126	22227.652939	21651.3276143	22713.6359959	22821.1631622	25547.6970653	24265.8746141	22717.1878819	22260.101739	24389.9976616
23	23814.5099166	23207.7281128	22254.6043138	21667.9963768	22751.4575008	22880.4980536	25613.6957516	24286.0133742	22874.8029817	22391.0970473	24751.0365429
24	23673.7372826	23101.8367877	22076.9499992	21471.5952412	22727.9578323	22834.6265102	25658.3826507	24254.9185451	22799.4230448	22287.9177941	24734.5553174
25	23352.0975731	22793.514635	21790.9356736	21236.7868712	22486.2961502	22584.7143002	25465.9477373	23999.3464287	22526.9277061	21999.4452411	24293.9279276
26	23832.9105009	23229.2631693	22333.9299544	21788.2129393	22788.4750299	22886.3809621	25661.5136499	24221.5568787	22772.6176902	22249.9148815	24471.2799943
27	23983.3708893	23311.3537475	22424.622761	21886.2379047	22816.9113023	22887.8192228	25685.9104015	24229.0924896	22738.1656592	22224.1724288	24442.4004693
28	24139.9638752	23402.1062494	22675.1095547	22168.1708454	22894.163794	22988.7037312	25840.3996517	24414.1794079	22762.9497253	22207.2973738	24550.9620676
29	24457.0720467	23712.3225932	22922.1591499	22441.1866886	22969.9834393	23051.8188033	25827.1040909	24582.0940013	22809.0850896	22285.2466547	24619.9297424
30	24438.1882742	23725.4690291	22909.4358231	22424.4241382	22822.0936412	22918.6186907	25665.1650614	24476.909427	22710.9749618	22196.1717703	24582.9839913
31	24391.2763484	23646.699992	22932.7199112	22401.8350139	22751.5491563	22893.0464521	25770.1093069	24445.315999	22664.4091125	22098.5103437	24677.0314863
32	24640.1031327	23891.9941458	23291.9239772	22687.0108188	23069.3193008	23243.1294561	26133.9239182	24819.9537003	22958.4822292	22386.4863344	24926.5180395
33	24737.8029725	23985.2264704	23427.1784331	22806.2232241	23157.820417	23327.4177729	26298.5675422	24975.3178585	23041.6677839	22474.2606852	25018.6967073
34	24495.9375106	23797.8145779	23293.8332292	22682.289723	23044.3915669	23204.1871627	26209.6549402	24879.3319381	22903.218229	22368.4287601	24816.0792948
